"baseline","covars","model","inference","est","se","p","df","sigma","singular","n","sd_denom","d","d_resid","ci_lo","ci_hi","ci_width_d","s_value","dup_group","is_dup","study_id","grid_type","spec_id","missing","transform","outlier","outlier_scope"
"endpoint","none","lm","hc3",0.14457543304997,0.0332669567939463,3.04591202673345e-05,113.004338125226,0.179396903771317,0,119,0.182747548121158,0.79112105489984,0.805897036184441,0.0786676190142782,0.210483247085662,0.721299023853345,15.0027662005132,73,FALSE,"tereco_PMC8318721","defensible",73,"mi","log",NA,NA
"change","none","lm","hc3",0.105538689496385,0.0264291902982506,0.000117052631005803,111.65413621958,0.140902325298481,0,119,0.182747548121158,0.577510837116209,0.749020211503369,0.0531708653536287,0.157906513639141,0.573116571807981,13.0605550171084,74,FALSE,"tereco_PMC8318721","defensible",74,"mi","log",NA,NA
"ancova","none","lm","hc3",0.119583817489481,0.0221420968823007,3.92743961119908e-07,108.971268704451,0.119513076915027,0,119,0.182747548121158,0.654366193795386,1.00059190656186,0.0756987714478272,0.163468863531136,0.480280545406379,21.2799075715803,75,FALSE,"tereco_PMC8318721","defensible",75,"mi","log",NA,NA
"endpoint","strat","lm","hc3",0.145425595373572,0.0318218405019912,1.26428328243686e-05,111.831412286723,0.170322398009238,0,119,0.182747548121158,0.795773168333604,0.853825433843903,0.0823736595432519,0.208477531203892,0.690044123475931,16.27132071632,76,FALSE,"tereco_PMC8318721","defensible",76,"mi","log",NA,NA
"change","strat","lm","hc3",0.106563985969667,0.023258499962574,1.22740602618985e-05,109.58667447558,0.122500507966684,0,119,0.182747548121158,0.583121289808044,0.869906482335967,0.060469164860566,0.152658807078769,0.504464454741045,16.314027902638,77,FALSE,"tereco_PMC8318721","defensible",77,"mi","log",NA,NA
"ancova","strat","lm","hc3",0.119839072128325,0.0186393923336187,3.80508589002435e-09,105.542503072785,0.0996682064741866,0,119,0.182747548121158,0.655762954744947,1.20238014074591,0.0828828145008716,0.156795329755778,0.404451474259475,27.9694238347611,78,FALSE,"tereco_PMC8318721","defensible",78,"mi","log",NA,NA
"endpoint","none","lm","model",0.137261310655433,0.0334974355233766,7.7267447907618e-05,117,0.18270048917698,0,119,0.182747548121158,0.751097960364599,0.751291423869532,0.07092139491111,0.203601226399757,0.726027970567805,13.6597797269536,79,FALSE,"tereco_PMC8318721","defensible",79,"locf","log",NA,NA
"change","none","lm","model",0.0982245671018483,0.0255922475874104,0.000201616999824105,117,0.139584301911568,0,119,0.182747548121158,0.537487742580969,0.703693508200353,0.0475404618224502,0.148908672381246,0.554689852755731,12.2760950912675,80,FALSE,"tereco_PMC8318721","defensible",80,"locf","log",NA,NA
"ancova","none","lm","model",0.111573271509405,0.0221496904773358,1.75175494689208e-06,116,0.120279146562429,0,119,0.182747548121158,0.610532248757908,0.9276194144884,0.0677030186035729,0.155443524415236,0.480118648450995,19.1227675989687,81,FALSE,"tereco_PMC8318721","defensible",81,"locf","log",NA,NA
"endpoint","strat","lm","model",0.138105573236758,0.0318981654537639,3.18767354098824e-05,116,0.173973133071769,0,119,0.182747548121158,0.755717790233751,0.793832764854475,0.0749272373082907,0.201283909165225,0.69142745364311,14.9371365881805,82,FALSE,"tereco_PMC8318721","defensible",82,"locf","log",NA,NA
"change","strat","lm","model",0.0992439638328532,0.022225606602736,1.86610914134225e-05,116,0.121218833750902,0,119,0.182747548121158,0.543065911708191,0.818717362326667,0.0552233494750479,0.143264578190659,0.481764213094892,15.7096071082533,83,FALSE,"tereco_PMC8318721","defensible",83,"locf","log",NA,NA
"ancova","strat","lm","model",0.111827789971523,0.0185507494255958,2.05249821755804e-08,115,0.100735680367294,0,119,0.182747548121158,0.611924981326607,1.11011103080642,0.0750823256161738,0.148573254326872,0.40214454019364,25.5380437899686,84,FALSE,"tereco_PMC8318721","defensible",84,"locf","log",NA,NA
